Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_Rect_L7.0mm_W2.0mm_P5.00mm",41.5885,14.0477,180.0000,top
"C2","100n","C_Disc_D4.3mm_W1.9mm_P5.00mm",44.1285,15.3577,90.0000,top
"C3","3,3n","C_Rect_L7.0mm_W2.0mm_P5.00mm",61.2735,15.9927,90.0000,top
"C4","10n","C_Rect_L7.0mm_W2.0mm_P5.00mm",54.9235,29.3277,90.0000,top
"C5","10n","C_Rect_L7.0mm_W2.0mm_P5.00mm",52.3835,29.2877,90.0000,top
"C6","100u","C_Radial_D8.0mm_H11.5mm_P3.50mm",36.1259,33.0977,0.0000,top
"C7","1000u","C_Radial_D10.0mm_H20.0mm_P5.00mm",66.0480,25.0150,90.0000,top
"C8","10u","C_Radial_D10.0mm_H16.0mm_P5.00mm",105.2608,15.3177,0.0000,top
"D3","LED","LED_D3.0mm",37.1435,17.8577,0.0000,top
"D4","?","D_A-405_P10.16mm_Horizontal",95.5635,9.6027,0.0000,top
"F1","?","Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal",106.5985,44.5277,180.0000,top
"J1","Screw_Terminal_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",107.8825,23.5587,90.0000,top
"Q1","HY1707","TO-220F-3_Vertical",51.7485,47.0077,0.0000,top
"Q2","HY1707","TO-220F-3_Vertical",71.4335,47.0077,0.0000,top
"Q3","S8050","TO-92_Inline_Wide",41.5885,10.5977,180.0000,top
"R2","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",52.3835,10.8727,180.0000,top
"R3","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",44.7635,13.4127,0.0000,top
"R4","3k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",65.0835,12.7777,90.0000,top
"R5","5,1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",58.0985,15.9527,90.0000,top
"R6","150","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",58.7335,28.6527,90.0000,top
"R7","5,1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",49.2085,36.9077,-90.0000,top
"R8","20","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",46.0335,29.2877,90.0000,top
"R9","R","R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal",56.8285,41.9877,180.0000,top
"R10","140k","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",79.6878,9.5054,0.0000,top
"R11","140k","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",64.1684,9.5054,0.0000,top
"R12","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",40.9535,20.3977,90.0000,top
"R13","5,1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",62.5435,41.3527,-90.0000,top
"R14","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",46.6685,45.7977,180.0000,top
"TR1","~","Tr12to450V_Alixp",86.8005,26.3667,-90.0000,top
"U1","UC2843A","DIP-8_W7.62mm",46.9980,15.8350,90.0000,top
"VR1","5k","Potentiometer_Bourns_3296W_Vertical",60.6385,11.5127,0.0000,top
