Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,3,C1 C4 C5,10n,~,C_Rect_L7.0mm_W2.0mm_P5.00mm,Unpolarized capacitor,,,
2,1,C3,"3,3n",~,C_Rect_L7.0mm_W2.0mm_P5.00mm,Unpolarized capacitor,,,
3,1,C2,100n,~,C_Disc_D4.3mm_W1.9mm_P5.00mm,Unpolarized capacitor,,,
4,1,C8,10u,~,C_Radial_D10.0mm_H16.0mm_P5.00mm,Polarized capacitor,,,
5,1,C6,100u,~,C_Radial_D8.0mm_H11.5mm_P3.50mm,Polarized capacitor,,,
6,1,C7,1000u,~,C_Radial_D10.0mm_H20.0mm_P5.00mm,Polarized capacitor,,,
7,2,D4 F1,?,~,D_A-405_P10.16mm_Horizontal,Diode Fuse,,,
8,1,D3,LED,~,LED_D3.0mm,Light emitting diode,,,
9,1,J1,Screw_Terminal_01x04,~,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
10,2,Q1 Q2,HY1707,~,TO-220F-3_Vertical,"N-MOSFET transistor, gate/drain/source",,,
11,1,Q3,S8050,http://www.unisonic.com.tw/datasheet/S8050.pdf,TO-92_Inline_Wide,"0.7A Ic, 20V Vce, Low Voltage High Current NPN Transistor, TO-92",,,
12,1,R9,R,~,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,Resistor,,,
13,1,R8,20,~,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,
14,1,R14,100,~,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,
15,1,R6,150,~,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,Resistor,,,
16,2,R2 R12,1k,~,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,
17,1,R4,3k,~,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,
18,3,R5 R7 R13,"5,1k",~,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,
19,1,R3,100k,~,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,
20,2,R10 R11,140k,~,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,Resistor,,,
21,1,TR1,~,,Tr12to450V_Alixp,,,,
22,1,U1,UC2843A,,DIP-8_W7.62mm,,,,
23,1,VR1,5k,~,Potentiometer_Bourns_3296W_Vertical,Trim-potentiometer,,,
